"Дата";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день";"Заражений за день";"Смертей за день"
08.04.2022;17969431;17143630;371169;280;14311;37684;14311;280
25.03.2020;658;29;2;2;163;7;163;2
19.05.2022;18278617;17670628;378072;97;4927;5952;4927;97
25.03.2022;17715390;16545758;366618;398;25382;61860;25382;398
12.04.2020;15759;1291;130;24;2175;246;2175;24
19.03.2021;4437938;4049373;94267;443;9699;12337;9699;443
30.08.2020;990326;806982;17093;68;4980;2599;4980;68
17.04.2021;4693469;4319389;105193;398;9321;8832;9321;398
16.10.2020;1369313;1056582;23723;232;15150;8485;15150;232
04.07.2021;5610941;5068901;137925;663;25142;15484;25142;663
26.07.2020;812485;600250;13269;77;5765;3110;5765;77
08.05.2021;4871843;4488615;112992;370;8329;8255;8329;370
15.07.2020;746369;523249;11770;156;6422;10424;6422;156
01.06.2020;414878;175877;4855;162;9035;3994;9035;162
17.12.2022;21708852;21103330;392949;58;7531;7269;7531;58
15.06.2022;18385098;17806097;380203;66;2718;4528;2718;66
04.07.2022;18442625;17869964;381306;43;2866;2276;2866;43
03.05.2020;134687;16639;1280;58;10633;1626;10633;58
11.06.2020;502436;261150;6532;174;8779;8367;8779;174
27.12.2022;21774824;21176667;393492;59;5197;7692;5197;59
24.05.2022;18301393;17700372;378516;90;3785;6352;3785;90
09.01.2023;21829736;21248549;394121;41;2754;2990;2754;41
26.07.2022;18545009;17948330;382236;47;6183;5422;6183;47
23.04.2020;62773;4891;555;42;4774;471;4774;42
16.06.2021;5249990;4828500;127576;396;13397;10256;13397;396
09.08.2020;887536;693422;14931;77;5189;3215;5189;77
26.05.2021;5026168;4642090;119600;406;8373;9135;8373;406
01.07.2020;654405;422931;9536;216;6556;10281;6556;216
22.07.2022;18517779;17929059;382080;41;6659;4687;6659;41
05.01.2023;21817113;21232717;393945;47;3274;4719;3274;47
19.04.2020;42853;3291;361;48;6060;234;6060;48
15.06.2020;537210;284539;7091;143;8246;4489;8246;143
28.05.2022;18319848;17725440;378870;86;4556;5844;4556;86
31.12.2022;21798509;21207802;393712;58;5527;7515;5527;58
27.06.2020;627646;393352;8969;188;6852;9200;6852;188
22.05.2021;4992554;4610465;118125;386;8709;9345;8709;386
13.08.2020;907758;716396;15384;124;5057;6098;5057;124
20.06.2021;5316826;4869972;129361;450;17611;8629;17611;450
19.07.2020;771546;550344;12342;95;6109;3481;6109;95
12.05.2021;4905059;4518529;114331;355;8217;8614;8217;355
22.07.2020;789190;572053;12745;165;5862;9669;5862;165
30.06.2021;5514599;5000393;135214;669;21042;16356;21042;669
08.07.2022;18455274;17882978;381499;49;3464;2787;3464;49
07.05.2020;177160;23803;1625;88;11231;2476;11231;88
28.05.2020;379051;150993;4142;174;8371;8785;8371;174
11.06.2022;18373184;17791081;379955;72;3627;4827;3627;72
13.12.2022;21677505;21073454;392720;59;5977;6838;5977;59
21.03.2022;17611401;16271880;364901;409;28709;61938;28709;409
08.04.2020;8672;580;63;5;1175;86;1175;5
23.05.2022;18297608;17694020;378426;76;4158;5117;4158;76
