"Дата";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день";"Заражений за день";"Смертей за день"
28.12.2021;10437152;9337447;306090;935;21922;43961;21922;935
28.10.2022;21409815;20775589;389950;78;7606;11685;7606;78
17.11.2021;9182538;7882836;259084;1247;36626;36388;36626;1247
02.11.2022;21441143;20822746;390315;68;6385;10241;6385;68
11.01.2022;10684204;9732018;317687;783;17525;25216;17525;783
23.08.2021;6766541;6034867;176820;776;19454;15401;19454;776
21.02.2021;4164726;3713445;83293;417;12742;16012;12742;417
25.07.2021;6126541;5490634;153874;779;24072;18678;24072;779
05.01.2021;3284384;2662668;59506;518;24246;22632;24246;518
09.04.2020;10131;698;76;13;1459;118;1459;13
22.03.2022;17637795;16346800;365373;472;26394;74920;26394;472
22.05.2022;18293450;17688903;378350;80;4710;5814;4710;80
11.10.2020;1298718;1020442;22597;149;13634;4240;13634;149
14.04.2021;4666209;4291223;104000;399;8326;9447;8326;399
04.09.2020;1015105;832747;17649;121;5110;5812;5110;121
22.03.2021;4466153;4077185;95391;361;9284;7790;9284;361
27.09.2020;1151438;943218;20324;99;7867;3068;7867;99
02.05.2021;4823255;4443922;110862;342;8697;7339;8697;342
18.09.2020;1091186;901207;19195;134;5905;5339;5905;134
04.03.2021;4290135;3869857;87823;475;11385;16123;11385;475
30.03.2020;1836;66;9;1;302;2;302;1
13.04.2022;18030579;17299263;372512;267;11754;28135;11754;267
30.04.2022;18182354;17539985;375884;157;7363;11022;7363;157
18.04.2020;36793;3057;313;40;4785;467;4785;40
21.07.2022;18511120;17924372;382039;42;6391;4529;6391;42
06.01.2023;21820552;21237402;393986;41;3439;4685;3439;41
29.05.2022;18324036;17729851;378955;85;4188;4411;4188;85
30.12.2022;21792982;21200287;393654;50;5810;7695;5810;50
16.06.2020;545458;294306;7284;193;8248;9767;8248;193
28.06.2020;634437;399087;9073;104;6791;5735;6791;104
21.05.2021;4983845;4601120;117739;389;8937;9350;8937;389
12.08.2020;902701;710298;15260;129;5102;7123;5102;129
21.06.2021;5334204;4878333;129801;440;17378;8361;17378;440
20.07.2020;777486;553602;12427;85;5940;3258;5940;85
11.05.2021;4896842;4509915;113976;329;8115;7009;8115;329
21.07.2020;783328;562384;12580;153;5842;8782;5842;153
01.07.2021;5538142;5017321;135886;672;23543;16928;23543;672
06.05.2020;165929;21327;1537;86;10559;1462;10559;86
07.07.2022;18451810;17880191;381450;52;3359;3178;3359;52
12.06.2022;18376587;17794561;380020;65;3403;3480;3403;65
12.12.2022;21671528;21066616;392661;50;6376;5032;6376;50
29.05.2020;387623;159257;4374;232;8572;8264;8572;232
02.01.2021;3212637;2599035;58002;447;26301;18897;26301;447
05.08.2021;6379904;5700212;162509;794;23120;20370;23120;794
24.02.2021;4200902;3751562;84430;383;11749;12218;11749;383
12.08.2021;6534791;5828972;168049;808;21932;20195;21932;808
06.01.2022;10601300;9623677;313817;802;15316;22949;15316;802
15.11.2022;21508961;20912331;391149;64;4431;6354;4431;64
22.11.2021;9366839;8053643;265336;1241;35681;28713;35681;1241
15.10.2022;21292200;20585404;388807;98;13384;26130;13384;98
15.12.2021;10103160;8839633;292891;1142;28363;35633;28363;1142
25.11.2022;21562758;20972766;391736;56;5992;5337;5992;56
14.12.2021;10074797;8804000;291749;1145;28343;34084;28343;1145
05.10.2022;21118629;20266033;387779;113;23757;44694;23757;113
16.01.2021;3544623;2936991;65085;590;24092;27311;24092;590
18.07.2021;5958133;5341231;148419;764;25018;18886;25018;764
10.02.2021;4012710;3516461;78134;536;14494;22575;14494;536
30.08.2021;6901152;6162430;182429;792;18325;14180;18325;792
26.12.2020;3021964;2426439;54226;567;29258;28185;29258;567
19.10.2021;8060752;7040481;225325;1015;33740;23426;33740;1015
26.10.2020;1531224;1146096;26269;219;17347;7574;17347;219
04.10.2021;7612317;6740491;210801;883;25781;14526;25781;883
29.01.2022;11615779;10189207;330111;668;113122;30010;113122;668
16.08.2022;18931140;18172070;383237;59;23909;20583;23909;59
07.03.2022;17014818;14690595;356952;671;73162;122619;73162;671
08.09.2022;19908189;18926609;385069;93;50618;50293;50618;93
12.02.2022;13935560;11134291;339542;729;203766;112658;203766;729
29.07.2022;18576973;17963133;382352;39;11422;4670;11422;39
21.02.2022;15522756;12492732;346235;735;152337;127494;152337;735
26.09.2022;20833109;19800764;386842;85;40188;44257;40188;85
04.12.2020;2402949;1888752;42176;569;27403;28901;27403;569
29.10.2021;8432546;7302515;236220;1163;39849;30462;39849;1163
17.11.2020;1971013;1475904;33931;442;22410;22055;22410;442
24.09.2021;7376374;6574608;202273;828;21379;15828;21379;828
27.10.2020;1547774;1158940;26589;320;16550;12844;16550;320
07.10.2021;7690110;6799230;213549;924;27550;20330;27550;924
25.12.2020;2992706;2398254;53659;563;29018;27397;29018;563
16.10.2021;7958384;6981907;222315;1002;33208;21883;33208;1002
06.03.2022;16941656;14567976;356281;744;79863;149060;79863;744
05.09.2022;19771113;18777401;384787;76;41690;30703;41690;76
30.01.2022;11737007;10218151;330728;617;121228;28944;121228;617
19.08.2022;19037664;18238128;383427;65;37609;21887;37609;65
24.02.2022;15928568;12972661;348578;762;132998;136433;132998;762
27.09.2022;20869714;19860311;386943;101;36605;59547;36605;101
09.02.2022;13330769;10803305;337390;669;183103;97163;183103;669
28.07.2022;18565551;17958463;382313;41;11515;5018;11515;41
14.11.2020;1903253;1425529;32834;391;22702;18626;22702;391
23.09.2021;7354995;6558780;201445;820;21438;16567;21438;820
07.12.2020;2488912;1956588;43597;456;28142;18850;28142;456
30.10.2021;8472797;7331424;237380;1160;40251;28909;40251;1160
23.02.2021;4189153;3739344;84047;417;11823;12956;11823;417
09.08.2021;6469910;5769981;165650;769;22160;14474;22160;769
03.01.2021;3236787;2618882;58506;504;24150;19847;24150;504
08.08.2021;6447750;5755507;164881;787;22866;15669;22866;787
23.11.2021;9400835;8089694;266579;1243;33996;36051;33996;1243
18.10.2022;21324431;20638610;389084;91;9474;20252;9474;91
05.01.2022;10585984;9600728;313015;828;15772;25581;15772;828
12.11.2022;21494588;20896445;390964;62;5514;5717;5514;62
11.12.2021;9986967;8709964;288351;1171;30288;36446;30288;1171
04.10.2022;21094872;20221339;387666;107;21687;45437;21687;107
18.12.2021;10186823;8952266;296180;1076;27434;38041;27434;1076
26.11.2022;21568846;20977854;391789;53;6088;5088;6088;53
13.02.2021;4057698;3577907;79696;502;14861;18765;14861;502
31.08.2021;6918965;6181054;183224;795;17813;18624;17813;795
13.01.2021;3471053;2854088;63370;566;22850;28658;22850;566
17.07.2021;5933115;5322345;147655;787;25116;21437;25116;787
30.05.2022;18327837;17733870;379029;74;3801;4019;3801;74
02.01.2023;21807431;21217574;393805;43;3884;4489;3884;43
17.06.2020;553301;304342;7478;194;7843;10036;7843;194
17.04.2020;32008;2590;273;41;4070;286;4070;41
20.07.2022;18504729;17919843;381997;37;5685;4317;5685;37
03.01.2023;21810511;21223056;393853;48;3080;5482;3080;48
11.08.2020;897599;703175;15131;130;4945;6494;4945;130
18.06.2021;5281309;4850659;128445;453;17262;10954;17262;453
29.06.2020;641156;403430;9166;93;6719;4343;6719;93
24.05.2021;5009911;4624212;118801;319;8406;6450;8406;319
24.07.2020;800849;588774;13046;154;5811;8444;5811;154
02.07.2021;5561360;5035518;136565;679;23218;18197;23218;679
17.07.2020;759203;539373;12123;186;6406;7681;6406;186
10.05.2021;4888727;4502906;113647;321;8465;6774;8465;321
09.06.2022;18365879;17781922;379813;77;3774;4297;3774;77
11.12.2022;21665152;21061584;392611;51;7096;5718;7096;51
26.05.2020;362342;131129;3807;174;8915;12331;8915;174
09.05.2020;198676;31916;1827;104;10817;5308;10817;104
10.07.2022;18462211;17888560;381583;39;3398;2496;3398;39
21.05.2022;18288740;17683089;378270;102;5034;6288;5034;102
10.04.2020;11917;795;94;18;1786;97;1786;18
23.03.2022;17664621;16417422;365802;429;26826;70622;26826;429
05.09.2020;1020310;838126;17759;110;5205;5379;5205;110
25.03.2021;4492692;4109281;96612;393;9221;10881;9221;393
10.10.2020;1285084;1016202;22448;191;12846;6781;12846;191
11.04.2021;4641390;4265509;102986;337;8702;7230;8702;337
15.09.2020;1073849;884305;18785;150;5529;5605;5529;150
03.03.2021;4278750;3853734;87348;452;10535;15694;10535;452
30.09.2020;1176286;958257;20722;177;8481;5858;8481;177
03.05.2021;4831744;4450289;111198;336;8489;6367;8489;336
03.05.2022;18201074;17563272;376292;125;5466;7052;5466;125
27.03.2020;1036;42;3;1;196;7;196;1
10.04.2022;17996060;17213102;371716;259;13056;29372;13056;259
12.07.2021;5808473;5216648;143712;710;25140;16429;25140;710
26.01.2021;3756931;3174561;70482;564;18241;23798;18241;564
05.09.2021;7012599;6270731;187200;793;18645;15256;18645;793
31.01.2021;3850439;3300004;73182;485;18359;20040;18359;485
23.11.2022;21550982;20961317;391622;54;5631;6785;5631;54
29.12.2021;10458271;9380223;307022;932;21119;42776;21119;932
07.10.2022;21163942;20347142;387991;104;22268;39573;22268;104
30.11.2021;9636881;8329253;275193;1229;32648;33442;32648;1229
01.11.2022;21434758;20812505;390247;72;5252;9308;5252;72
08.01.2022;10634603;9666161;315400;796;16568;20449;16568;796
29.10.2022;21416922;20787116;390029;79;7107;11527;7107;79
20.11.2021;9294188;7992426;262843;1254;37120;36172;37120;1254
26.07.2021;6149780;5506834;154601;727;23239;16200;23239;727
08.01.2021;3355794;2731129;60911;454;23652;21677;23652;454
22.08.2021;6747087;6019466;176044;762;20564;15414;20564;762
18.02.2021;4125598;3661312;81926;480;13447;18730;13447;480
12.11.2021;8992595;7720962;252926;1235;40123;33645;40123;1235
02.12.2020;2347401;1830349;41053;589;25345;26882;25345;589
10.09.2021;7102625;6357272;191165;789;18341;17121;18341;789
19.11.2020;2015608;1526656;34850;463;23610;25573;23610;463
08.08.2022;18730561;18048076;382786;45;17862;8721;17862;45
06.02.2022;12810118;10569271;335414;661;180071;59583;180071;661
16.09.2022;20324039;19294876;385837;110;59035;50020;59035;110
27.02.2022;16291116;13458910;350927;769;116093;137596;116093;769
22.08.2022;19150404;18306867;383617;57;33061;22281;33061;57
19.01.2022;10899411;9925855;323376;698;33899;22920;33899;698
02.09.2022;19629682;18672586;384532;91;50952;37012;50952;91
17.03.2022;17484257;15934645;363039;561;34819;112614;34819;561
21.10.2021;8131164;7091607;227389;1036;36339;25895;36339;1036
12.12.2020;2625848;2085958;46453;560;28137;26118;28137;560
02.10.2021;7560767;6710574;209028;886;25219;17852;25219;886
09.11.2020;1796132;1335141;30793;256;21798;10722;21798;256
15.04.2022;18053359;17340639;373027;261;11432;19523;11432;261
16.03.2020;91;5;0;0;28;2;28;0
13.03.2020;45;0;0;0;11;0;11;0
28.04.2022;18167281;17517922;375566;166;7681;11063;7681;166
22.04.2021;4736121;4361807;107103;397;8996;8934;8996;397
03.10.2020;1204502;975859;21251;174;9859;5563;9859;174
14.03.2021;4390608;3995129;92090;395;10083;9232;10083;395
12.09.2020;1057362;873535;18484;119;5488;5428;5488;119
08.04.2021;4614834;4239038;101845;365;8672;9558;8672;365
21.10.2020;1447335;1096560;24952;317;15700;10952;15700;317
28.03.2021;4519832;4139128;97740;336;9088;8630;9088;336
25.08.2020;966189;779747;16568;120;4696;6652;4696;120
05.04.2022;17926104;17035336;370311;316;13947;37459;13947;316
07.04.2020;7497;494;58;11;1154;88;1154;11
08.05.2022;18227666;17603398;376946;118;5447;6682;5447;118
27.06.2022;18421564;17847868;380943;51;2683;2355;2683;51
12.05.2020;232243;43512;2116;107;10899;3711;10899;107
23.05.2020;335882;107936;3388;139;9434;8111;9434;139
06.12.2022;21628829;21030317;392342;59;5561;6690;5561;59
22.06.2022;18406485;17832604;380643;66;3058;3767;3058;66
13.05.2021;4913439;4527878;114723;392;8380;9349;8380;392
06.07.2020;687862;454329;10296;135;6611;3579;6611;135
29.06.2021;5493557;4984037;134545;652;20616;14697;20616;652
04.08.2020;861423;661471;14351;144;5159;7878;5159;144
04.06.2021;5108129;4720512;123037;377;8947;8530;8947;377
26.06.2020;620794;384152;8781;176;6800;8988;6800;176
07.06.2021;5135866;4743202;124117;330;9429;6756;9429;330
14.08.2020;912823;722964;15498;114;5065;6568;5065;114
15.07.2022;18480934;17903447;381794;40;4457;2929;4457;40
28.04.2020;93558;8456;864;71;6411;1110;6411;71
06.06.2020;458689;221388;5725;197;8855;8708;8855;197
20.12.2022;21728409;21123341;393107;57;5994;8109;5994;57
04.06.2022;18348065;17760326;379445;82;4101;5132;4101;82
18.08.2020;932493;742628;15872;132;4748;6527;4748;132
11.06.2021;5180454;4782183;125674;396;12505;10188;12505;396
22.06.2020;592280;344416;8206;95;7600;4705;7600;95
31.05.2021;5071917;4684585;121501;339;8475;6715;8475;339
10.06.2020;493657;252783;6358;216;8404;10386;8404;216
08.06.2022;18362105;17777625;379736;79;3646;4737;3646;79
24.12.2022;21757697;21157222;393331;54;6986;8004;6986;54
11.07.2022;18465308;17890856;381621;38;3097;2296;3097;38
12.01.2023;21841644;21263274;394262;48;4675;4541;4675;48
24.04.2020;68622;5568;615;60;5849;677;5849;60
19.05.2020;299941;76130;2837;115;9263;5921;9263;115
18.06.2022;18395179;17819395;380401;68;3382;4371;3382;68
02.12.2022;21604334;21009259;392117;57;6721;5684;6721;57
01.07.2022;18433394;17861605;381165;53;3155;3388;3155;53
16.05.2020;272043;63166;2537;119;9200;4940;9200;119
31.07.2020;839981;638410;13963;161;5482;8755;5482;161
25.06.2021;5409088;4929639;132064;601;20393;14024;20393;601
10.07.2020;713936;489068;11017;174;6635;7752;6635;174
17.05.2021;4949573;4563254;116211;340;9328;7181;9328;340
29.08.2020;985346;804383;17025;111;4941;5917;4941;111
01.04.2021;4554264;4176419;99233;383;9169;10247;9169;383
17.10.2020;1384235;1065199;24002;279;14922;8617;14922;279
04.04.2021;4580894;4204081;100374;357;8817;8212;8817;357
12.05.2022;18245394;17626344;377359;111;4065;6930;4065;111
01.04.2022;17862089;16884785;369064;342;19164;45998;19164;342
03.04.2020;4149;281;34;4;601;46;601;4
24.04.2022;18137137;17474628;374902;168;8446;10508;8446;168
19.04.2022;18092791;17407228;373948;235;8640;16763;8640;235
20.03.2020;253;12;0;0;54;7;54;0
08.09.2020;1035789;850049;17993;122;5099;6772;5099;122
10.03.2021;4351553;3945527;90275;466;9079;13350;9079;466
07.10.2020;1248619;995275;21865;202;11115;6699;11115;202
26.04.2021;4771372;4394639;108588;356;8803;6631;8803;356
13.03.2022;17335186;15480407;360811;596;44989;128629;44989;596
29.08.2022;19445581;18520851;384160;77;39658;24890;39658;77
23.01.2022;11108191;10023622;326112;679;63205;23045;63205;679
26.08.2022;19311973;18435096;383910;81;46452;33709;46452;81
05.11.2020;1712858;1279169;29509;292;19404;12238;19404;292
28.09.2021;7464708;6635485;205531;852;21559;17368;21559;852
16.12.2020;2734454;2176100;48564;596;26509;26490;26509;596
25.10.2021;8279573;7186611;231669;1069;37930;20690;37930;1069
23.11.2020;2114502;1611445;36540;361;25173;16002;25173;361
14.09.2021;7176085;6418033;194249;781;17837;15907;17837;781
28.11.2020;2242633;1739470;39068;510;27100;27296;27100;510
08.11.2021;8834495;7587560;248004;1190;39400;25582;39400;1190
03.03.2022;16685850;14102684;354011;781;93026;170689;93026;781
20.09.2022;20535057;19477825;386234;98;46474;52194;46474;98
02.02.2022;12128796;10337008;332690;678;141883;48426;141883;678
04.08.2022;18653867;18010066;382604;44;17126;9752;17126;44
16.11.2021;9145912;7846448;257837;1240;36818;34161;36818;1240
25.10.2022;21386842;20740347;389710;84;6578;12912;6578;84
12.01.2022;10702150;9758364;318432;745;17946;26346;17946;745
05.11.2022;21459284;20849598;390526;67;5617;7819;5617;67
14.02.2021;4071883;3593101;80126;430;14185;15194;14185;430
18.08.2021;6663473;5939037;172909;799;20914;20713;20914;799
12.01.2021;3448203;2825430;62804;531;22934;24755;22934;531
30.07.2021;6242066;5588848;157771;794;23564;20485;23564;794
04.02.2021;3917918;3389913;75205;521;16714;24546;16714;521
09.09.2021;7084284;6340151;190376;794;18380;19639;18380;794
22.01.2021;3677352;3081536;68412;580;21513;27318;21513;580
08.07.2021;5707452;5143255;140775;734;24818;21336;24818;734
04.12.2021;9769011;8471813;280072;1215;32974;35182;32974;1215
11.10.2022;21232963;20470552;388404;109;13970;31509;13970;109
25.12.2021;10368299;9222486;303250;981;24946;42107;24946;981
19.11.2022;21531012;20939481;391395;62;5445;6621;5445;62
29.04.2021;4796557;4419540;109731;364;9284;8442;9284;364
26.09.2020;1143571;940150;20225;169;7523;6004;7523;169
07.03.2021;4322776;3911924;89094;368;10595;11576;10595;368
19.09.2020;1097251;906462;19339;144;6065;5255;6065;144
23.03.2020;438;17;0;0;71;1;71;0
06.04.2022;17940765;17070642;370602;291;14661;35306;14661;291
07.05.2022;18222219;17596716;376828;132;5500;8649;5500;132
14.04.2020;21102;1694;170;22;2774;224;2774;22
27.03.2022;17762742;16654231;367351;338;23280;47540;23280;338
17.05.2022;18268958;17658542;377869;110;4122;5984;4122;110
15.04.2021;4675153;4301448;104398;398;8944;10225;8944;398
14.10.2020;1340409;1039705;23205;239;14231;7920;14231;239
21.03.2021;4456869;4069395;95030;371;9299;8743;9299;371
01.09.2020;1000048;815705;17299;123;4729;6318;4729;123
06.05.2021;4855128;4472338;112246;351;7639;7788;7639;351
13.07.2020;733699;504021;11439;104;6537;2960;6537;104
06.07.2021;5658672;5101852;139316;737;23378;18411;23378;737
28.07.2020;823515;612217;13504;150;5395;8888;5395;150
05.05.2020;155370;19865;1451;95;10102;1770;10102;95
06.07.2022;18448451;17877013;381398;44;3150;3437;3150;44
15.12.2022;21692870;21088668;392832;57;7833;7539;7833;57
13.06.2022;18379583;17798245;380076;56;2996;3684;2996;56
30.05.2020;396575;167469;4555;181;8952;8212;8952;181
21.04.2020;52763;3873;456;51;5642;427;5642;51
07.01.2023;21823855;21241865;394035;49;3303;4463;3303;49
24.07.2022;18532255;17938674;382155;37;7523;4812;7523;37
29.12.2022;21787172;21192592;393604;56;6146;7815;6146;56
26.05.2022;18310673;17713532;378700;91;4700;6455;4700;91
13.06.2020;520129;274641;6829;114;8706;5271;8706;114
28.05.2021;5044459;4661234;120406;404;9252;9385;9252;404
03.07.2020;667883;437893;9859;176;6718;8915;6718;176
14.06.2021;5222408;4809647;126801;371;13721;8312;13721;371
07.08.2020;877135;683592;14725;119;5241;7235;5241;119
30.11.2022;21590828;20997710;392002;59;6088;5557;6088;59
22.12.2021;10292983;9097521;300269;1020;25264;42322;25264;1020
30.09.2022;20985756;20040988;387269;106;37286;61225;37286;106
07.12.2021;9864845;8565091;283644;1182;31096;34615;31096;1182
21.07.2021;6030240;5404797;150705;783;23704;22584;23704;783
17.01.2021;3568209;2960431;65566;481;23586;23440;23586;481
27.08.2021;6844049;6112035;180041;798;19509;19217;19509;798
09.02.2021;3998216;3493886;77598;530;15019;21795;15019;530
04.08.2021;6356784;5679842;161715;790;22589;20096;22589;790
30.12.2020;3131550;2525418;56426;599;26513;29235;26513;599
13.08.2021;6557068;5848340;168864;815;22277;19368;22277;815
27.02.2021;4234720;3799406;85743;439;11534;16020;11534;439
08.11.2022;21472591;20868400;390712;63;4320;8123;4320;63
01.01.2022;10519733;9497063;309707;847;19751;33144;19751;847
22.10.2022;21364263;20708528;389449;90;9348;15035;9348;90
27.11.2021;9536825;8237465;271531;1239;33946;36494;33946;1239
01.08.2022;18612543;17981475;382469;36;10824;6077;10824;36
13.02.2022;14133509;11235859;340248;706;197949;101568;197949;706
23.09.2022;20694894;19652187;386551;104;53335;57625;53335;104
20.02.2022;15370419;12365238;345500;745;170699;147296;170699;745
03.11.2021;8633643;7445438;242060;1189;40443;32807;40443;1189
11.12.2020;2597711;2059840;45893;613;28585;26171;28585;613
19.09.2021;7274928;6498682;198218;793;20174;13418;20174;793
10.11.2020;1817109;1350741;31161;368;20977;15600;20977;368
12.10.2021;7832964;6894285;218345;973;28190;20706;28190;973
21.12.2020;2877727;2295362;51351;493;29350;19705;29350;493
11.10.2021;7804774;6873579;217372;957;29409;15460;29409;957
31.10.2020;1618116;1215414;27990;334;18140;14854;18140;334
15.08.2022;18907231;18151487;383178;53;25273;15410;25273;53
26.01.2022;11315801;10099937;328105;657;74692;28197;74692;657
09.09.2022;19960295;18977695;385165;96;52106;51086;52106;96
10.03.2022;17191300;15043717;358911;665;51231;148634;51231;665
11.11.2021;8952472;7687317;251691;1237;40759;33156;40759;1237
03.12.2020;2375546;1859851;41607;554;28145;29502;28145;554
11.09.2021;7121516;6375160;191961;796;18891;17888;18891;796
18.11.2020;1991998;1501083;34387;456;20985;25179;20985;456
09.08.2022;18746886;18061168;382846;60;16325;13092;16325;60
05.02.2022;12630047;10509688;334753;714;177282;60507;177282;714
15.09.2022;20265004;19244856;385727;99;56126;49752;56126;99
28.02.2022;16398036;13575652;351660;733;106920;116742;106920;733
23.08.2022;19181371;18337736;383686;69;30967;30869;30967;69
18.01.2022;10865512;9902935;322678;688;31252;24564;31252;688
01.09.2022;19578730;18635574;384441;95;49761;38940;49761;95
18.03.2022;17518699;16039709;363563;524;34442;105064;34442;524
20.10.2021;8094825;7065712;226353;1028;34073;25231;34073;1028
13.12.2020;2653928;2106235;46941;488;28080;20277;28080;488
03.10.2021;7586536;6725965;209918;890;25769;15391;25769;890
08.11.2020;1774334;1324419;30537;286;20498;11492;20498;286
13.07.2021;5833175;5236214;144492;780;24702;19566;24702;780
25.01.2021;3738690;3150763;69918;456;19290;19003;19290;456
04.09.2021;6993954;6255475;186407;796;18780;18737;18780;796
01.02.2021;3868087;3318173;73619;437;17648;18169;17648;437
22.11.2022;21545351;20954532;391568;59;4460;6444;4460;59
30.12.2021;10479344;9423227;307948;926;21073;43004;21073;926
08.10.2022;21184513;20385431;388097;106;20571;38289;20571;106
29.11.2021;9604233;8295811;273964;1209;33860;27700;33860;1209
31.10.2022;21429506;20803197;390175;71;5781;7073;5781;71
09.01.2022;10650849;9686912;316163;763;16246;20751;16246;763
30.10.2022;21423725;20796124;390104;75;6803;9008;6803;75
19.11.2021;9257068;7956254;261589;1254;37156;37004;37156;1254
27.07.2021;6172812;5526950;155380;779;23032;20116;23032;779
07.01.2021;3332142;2709452;60457;506;23541;23729;23541;506
21.08.2021;6726523;6004052;175282;797;21000;20647;21000;797
19.02.2021;4139031;3679949;82396;470;13433;18637;13433;470
13.05.2020;242271;48003;2212;96;10028;4491;10028;96
28.06.2022;18424105;17851282;381002;59;2541;3414;2541;59
07.12.2022;21635764;21037111;392400;58;6935;6794;6935;58
21.06.2022;18403427;17828837;380577;60;2500;3440;2500;60
22.05.2020;326448;99825;3249;150;8894;7144;8894;150
14.05.2021;4922901;4537634;115116;393;9462;9756;9462;393
05.07.2020;681251;450750;10161;134;6736;3871;6736;134
28.06.2021;5472941;4969340;133893;611;21650;12626;21650;611
05.08.2020;866627;669026;14490;139;5204;7555;5204;139
05.06.2021;5117274;4729077;123436;399;9145;8565;9145;399
25.06.2020;613994;375164;8605;92;7113;6342;7113;92
06.06.2021;5126437;4736446;123787;351;9163;7369;9163;351
15.08.2020;917884;729411;15617;119;5061;6447;5061;119
29.04.2020;99399;10286;972;108;5841;1830;5841;108
16.07.2022;18485632;17906326;381835;41;4698;2879;4698;41
21.12.2022;21735851;21131700;393166;59;7442;8359;7442;59
03.06.2022;18343964;17755194;379363;78;4188;5234;4188;78
05.06.2020;449834;212680;5528;144;8726;8057;8726;144
15.03.2020;63;3;0;0;4;3;4;0
14.04.2022;18041927;17321116;372766;254;11348;21853;11348;254
29.04.2022;18174991;17528963;375727;161;7710;11041;7710;161
14.03.2020;59;0;0;0;14;0;14;0
21.04.2021;4727125;4352873;106706;399;8271;9644;8271;399
04.10.2020;1215001;979143;21358;107;10499;3284;10499;107
15.03.2021;4400045;4003576;92494;404;9437;8447;9437;404
11.09.2020;1051874;868107;18365;102;5504;5734;5504;102
07.04.2021;4606162;4229480;101480;374;8294;9445;8294;374
22.10.2020;1463306;1107988;25242;290;15971;11428;15971;290
29.03.2021;4528543;4146408;98033;293;8711;7280;8711;293
24.08.2020;961493;773095;16448;65;4744;2456;4744;65
06.04.2020;6343;406;47;2;954;51;954;2
04.04.2022;17912157;16997877;369995;287;15291;32850;15291;287
09.05.2022;18232696;17609357;377049;103;5030;5959;5030;103
22.02.2021;4177330;3726388;83630;337;12604;12943;12604;337
10.08.2021;6491288;5788710;166442;792;21378;18729;21378;792
04.01.2021;3260138;2640036;58988;482;23351;21154;23351;482
07.08.2021;6424884;5739838;164094;793;22320;19485;22320;793
24.11.2021;9434393;8126376;267819;1240;33558;36682;33558;1240
17.10.2022;21314957;20618358;388993;92;10403;14513;10403;92
04.01.2022;10570212;9575147;312187;834;15903;27071;15903;834
13.11.2022;21499952;20901517;391024;60;5364;5072;5364;60
12.12.2021;10016896;8741355;289483;1132;29929;31391;29929;1132
03.10.2022;21073185;20175902;387559;91;24158;35294;24158;91
17.12.2021;10159389;8914225;295104;1080;27743;37437;27743;1080
27.11.2022;21574764;20982028;391840;51;5918;4174;5918;51
12.02.2021;4042837;3559142;79194;507;15089;20720;15089;507
01.09.2021;6937333;6199379;184014;790;18368;18325;18368;790
14.01.2021;3495816;2882044;63940;570;24763;27956;24763;570
16.07.2021;5907999;5300908;146868;799;25704;21932;25704;799
28.10.2020;1563976;1171301;26935;346;16202;12361;16202;346
06.10.2021;7662560;6778900;212625;929;25133;19841;25133;929
24.12.2020;2963688;2370857;53096;635;29935;26890;29935;635
17.10.2021;7992687;7000624;223312;997;34303;18717;34303;997
05.03.2022;16861793;14418916;355537;750;86769;155725;86769;750
06.09.2022;19809613;18823705;384882;95;38500;46304;38500;95
31.01.2022;11861077;10248281;331349;621;124070;30130;124070;621
18.08.2022;19000055;18216241;383362;62;35809;21491;35809;62
23.02.2022;15795570;12836228;347816;785;137642;179203;137642;785
28.09.2022;20909731;19921826;387054;111;40017;61515;40017;111
10.02.2022;13527845;10909397;338091;701;197076;106092;197076;701
27.07.2022;18554036;17953445;382272;36;9027;5115;9027;36
15.11.2020;1925825;1439985;33186;352;22572;14456;22572;352
22.09.2021;7333557;6542213;200625;817;19706;16102;19706;817
06.12.2020;2460770;1937738;43141;457;29039;21342;29039;457
31.10.2021;8513790;7358539;238538;1158;40993;27115;40993;1158
20.05.2022;18283706;17676801;378168;96;5089;6173;5089;96
24.03.2022;17690008;16483898;366220;418;25387;66476;25387;418
11.04.2020;13584;1045;106;12;1667;250;1667;12
06.09.2020;1025505;840949;17820;61;5195;2823;5195;61
24.03.2021;4483471;4098400;96219;401;8861;10355;8861;401
09.10.2020;1272238;1009421;22257;201;12126;7092;12126;201
12.04.2021;4649710;4272165;103263;277;8320;6656;8320;277
16.09.2020;1079519;890114;18917;132;5670;5809;5670;132
02.03.2021;4268215;3838040;86896;441;10565;14966;10565;441
29.09.2020;1167805;952399;20545;160;8232;6479;8232;160
04.05.2021;4839514;4457044;111535;337;7770;6755;7770;337
02.05.2022;18195608;17556220;376167;136;6207;7502;6207;136
11.04.2022;18007915;17239857;371964;248;11855;26755;11855;248
28.03.2020;1264;46;5;2;228;4;228;2
18.06.2020;561091;313963;7660;182;7790;9621;7790;182
31.05.2022;18331363;17739356;379117;88;3526;5486;3526;88
01.01.2023;21803547;21213085;393762;50;5038;5283;5038;50
19.07.2022;18499044;17915526;381960;44;4200;4186;4200;44
04.01.2023;21813839;21227998;393898;45;3328;4942;3328;45
16.04.2020;27938;2304;232;34;3448;318;3448;34
10.08.2020;892654;696681;15001;70;5118;3259;5118;70
19.06.2021;5299215;4861343;128911;466;17906;10684;17906;466
30.06.2020;647849;412650;9320;154;6693;9220;6693;154
23.05.2021;5001505;4617762;118482;357;8951;7297;8951;357
